STT,VIDEO,TEXT
1,D0001T.mp4,địa chỉ
2,D0001B.mp4,địa chỉ
3,D0002.mp4,tỉnh
4,D0004.mp4,nhân viên
5,D0005B.mp4,Miến Điện (nước Mi-an-ma)
6,D0001N.mp4,địa chỉ
7,D0005N.mp4,Miến Điện (nước Mi-an-ma)
8,D0005T.mp4,Miến Điện (nước Mi-an-ma)
9,D0007.mp4,Do Thái
10,D0008.mp4,Ả Rập (nước Ả Rập)
11,D0003.mp4,tiếp tân
12,D0010.mp4,phương Đông
13,D0011.mp4,Đu Bai (nước Đu Bai)
14,D0006.mp4,Ma Cao
15,D0013.mp4,người nước ngoài
16,D0012.mp4,Albania (nước Albania)
17,D0014.mp4,nhập khẩu
18,D0016.mp4,Quy Nhơn
19,D0015.mp4,Tuy Hoà
20,D0017.mp4,hấp dẫn
21,D0018.mp4,nổi da gà
22,D0019B.mp4,ghen tị
23,D0019N.mp4,ghen tị
24,D0020B.mp4,lung tung
25,D0020N.mp4,lung tung
26,D0020T.mp4,lung tung
27,D0009.mp4,phương Tây
28,D0021.mp4,hói đầu
29,D0023.mp4,cười vỡ bụng
30,D0019T.mp4,ghen tị
31,D0024B.mp4,tham ăn
32,D0022.mp4,cười nhếch mép
33,D0026.mp4,thèm
34,D0027.mp4,thèm rỏ dãi
35,D0024N.mp4,tham ăn
36,D0028.mp4,đứng đầu (hàng đầu)
37,D0029N.mp4,thói quen
38,D0029T.mp4,thói quen
39,D0029B.mp4,thói quen
40,D0024T.mp4,tham ăn
41,D0031N.mp4,không nghe lời
42,D0031T.mp4,không nghe lời
43,D0031B.mp4,không nghe lời
44,D0033B.mp4,không cho
45,D0033N.mp4,không cho
46,D0033T.mp4,không cho
47,D0030.mp4,khuyến khích
48,D0035B.mp4,không nên
49,D0035N.mp4,không nên
50,D0035T.mp4,không nên
51,D0032.mp4,ai cho
52,D0036.mp4,bực mình
53,D0037.mp4,tự giác
54,D0038.mp4,mù chữ
55,D0034.mp4,không cần
56,D0040N.mp4,Tết hàn thực
57,D0040T.mp4,Tết hàn thực
58,D0039.mp4,vô tình
59,D0042B.mp4,ngày Quốc tế phụ nữ 8/3
60,D0040B.mp4,Tết hàn thực
61,D0041.mp4,giỗ
62,D0043B.mp4,ngày giải phóng thủ đô 10/10
63,D0042T.mp4,ngày Quốc tế phụ nữ 8/3
64,D0043N.mp4,ngày giải phóng thủ đô 10/10
65,D0043T.mp4,ngày giải phóng thủ đô 10/10
66,D0044N.mp4,ngày Giải phóng miền Nam 30/4
67,D0042N.mp4,ngày Quốc tế phụ nữ 8/3
68,D0044B.mp4,ngày Giải phóng miền Nam 30/4
69,D0045N.mp4,ngày Người khuyết tật Việt Nam 18/4
70,D0044T.mp4,ngày Giải phóng miền Nam 30/4
71,D0045B.mp4,ngày Người khuyết tật Việt Nam 18/4
72,D0045T.mp4,ngày Người khuyết tật Việt Nam 18/4
73,D0046N.mp4,ngày Người khuyết tật Thế giới 3/12
74,D0046B.mp4,ngày Người khuyết tật Thế giới 3/12
75,D0048B.mp4,lễ Halloween 31/10
76,D0048N.mp4,lễ Halloween 31/10
77,D0046T.mp4,ngày Người khuyết tật Thế giới 3/12
78,D0049N.mp4,ngày Phụ nữ Việt Nam 20/10
79,D0049T.mp4,ngày Phụ nữ Việt Nam 20/10
80,D0049B.mp4,ngày Phụ nữ Việt Nam 20/10
81,D0048T.mp4,lễ Halloween 31/10
82,D0050N.mp4,ngày thương bình liệt sĩ 27/7
83,D0051B.mp4,ngày giỗ tổ Hùng Vương (âm lịch 10/3)
84,D0050T.mp4,ngày thương bình liệt sĩ 27/7
85,D0051N.mp4,ngày giỗ tổ Hùng Vương (âm lịch 10/3)
86,D0052B.mp4,ngày Ngôn ngữ kí hiệu Quốc tế 23/9
87,D0050B.mp4,ngày thương bình liệt sĩ 27/7
88,D0052T.mp4,ngày Ngôn ngữ kí hiệu Quốc tế 23/9
89,D0051T.mp4,ngày giỗ tổ Hùng Vương (âm lịch 10/3)
90,D0052N.mp4,ngày Ngôn ngữ kí hiệu Quốc tế 23/9
91,D0053T.mp4,tuần lễ người Điếc thế giới
92,D0054B.mp4,ngày của Mẹ
93,D0054N.mp4,ngày của Mẹ
94,D0054T.mp4,ngày của Mẹ
95,D0055B.mp4,ngày của Cha
96,D0053B.mp4,tuần lễ người Điếc thế giới
97,D0055T.mp4,ngày của Cha
98,D0053N.mp4,tuần lễ người Điếc thế giới
99,D0056N.mp4,ngày gia đình Việt Nam 28/6
100,D0056T.mp4,ngày gia đình Việt Nam 28/6
101,D0055N.mp4,ngày của Cha
102,D0057N.mp4,ngày thầy thuốc Việt Nam
103,D0057T.mp4,ngày thầy thuốc Việt Nam
104,D0058B.mp4,ngày thành lập quân đội nhân dân Việt Nam
105,D0058N.mp4,ngày thành lập quân đội nhân dân Việt Nam
106,D0058T.mp4,ngày thành lập quân đội nhân dân Việt Nam
107,D0057B.mp4,ngày thầy thuốc Việt Nam
108,D0060B.mp4,nhầm
109,D0060N.mp4,nhầm
