STT,TEXT,COUNT,VIDEOS
1,1,1,D0530.mp4
2,2,1,D0531.mp4
3,3,1,D0532.mp4
4,4,1,D0533.mp4
5,5,1,D0534.mp4
6,6,3,D0535N.mp4; D0535T.mp4; D0535B.mp4
7,7,1,D0536.mp4
8,8,1,D0537.mp4
9,9,1,D0538.mp4
10,a,1,D0489.mp4
11,b,1,D0492.mp4
12,bố,1,W00325.mp4
13,c,1,D0493.mp4
14,chị,3,W00570N.mp4; W00570T.mp4; W00570B.mp4
15,con chó,3,W00739N.mp4; W00739T.mp4; W00739B.mp4
16,con mèo,3,W00772B.mp4; W00772N.mp4; W00772T.mp4
17,d,1,D0494.mp4
18,e,1,D0496.mp4
19,g,2,D0498N.mp4; D0498B.mp4
20,h,3,D0500B.mp4; D0500N.mp4; D0500T.mp4
21,i,1,D0501.mp4
22,k,1,D0502.mp4
23,l,1,D0503.mp4
24,m,1,D0504.mp4
25,má,1,W02144.mp4
26,n,1,D0505.mp4
27,nước Việt nam,3,W02555T.mp4; W02555N.mp4; W02555B.mp4
28,p,3,D0509N.mp4; D0509T.mp4; D0509B.mp4
29,q,1,D0510.mp4
30,r,1,D0511.mp4
31,s,1,D0512.mp4
32,t,3,D0513N.mp4; D0513B.mp4; D0513T.mp4
33,thương yêu,6,W03373B.mp4; W03373N.mp4; W03373T.mp4; W03450B.mp4; W03450T.mp4; W03450N.mp4
34,v,1,D0516.mp4
35,x,3,D0517N.mp4; D0517T.mp4; D0517B.mp4
36,y,1,D0518N.mp4
37,yêu nước Việt Nam,1,D0232.mp4
38,â,3,D0491B.mp4; D0491N.mp4; D0491T.mp4
39,ê,3,D0497B.mp4; D0497T.mp4; D0497N.mp4
40,ô,3,D0507T.mp4; D0507B.mp4; D0507N.mp4
41,ă,3,D0490B.mp4; D0490T.mp4; D0490N.mp4
42,đ,1,D0495.mp4
43,ơ,1,D0508N.mp4
44,ư,1,D0515N.mp4
