TEXT,NUM_VIDEOS,VIDEOS,FRAME_COUNTS
0 (số không),1,D0529.mp4,81
1,1,D0530.mp4,124
1 000 000 (một triệu),3,D0551T.mp4; D0551N.mp4; D0551B.mp4,71; 59; 75
1 000 000 000 (một tỉ),3,D0552N.mp4; D0552B.mp4; D0552T.mp4,74; 90; 89
10,1,D0539.mp4,85
10 000 (mười nghìn),3,D0550B.mp4; D0550T.mp4; D0550N.mp4,72; 81; 85
100,1,D0547.mp4,81
1000 (một nghìn),1,D0548N.mp4,151
11,3,D0540B.mp4; D0540T.mp4; D0540N.mp4,121; 213; 213
12,3,D0541B.mp4; D0541T.mp4; D0541N.mp4,99; 184; 184
2,1,D0531.mp4,115
2 < 5 (Toán học),1,D0299.mp4,158
2 < 6 (Toán học),1,D0181.mp4,129
23,3,D0542B.mp4; D0542N.mp4; D0542T.mp4,70; 140; 140
3,1,D0532.mp4,108
33,2,D0543T.mp4; D0543N.mp4,219; 216
4,1,D0533.mp4,112
40,1,D0544.mp4,76
5,1,D0534.mp4,112
5 > 3 (Toán học),1,D0180.mp4,136
5000 (năm nghìn),2,D0549B.mp4; D0549T.mp4,66; 95
6,3,D0535N.mp4; D0535T.mp4; D0535B.mp4,101; 101; 279
7,1,D0536.mp4,105
7up,1,D0408.mp4,112
8,1,D0537.mp4,121
80,1,D0545.mp4,129
9,1,D0538.mp4,113
90,1,D0546N.mp4,81
Albania (nước Albania),1,D0012.mp4,145
An Giang,1,W00006.mp4,123
Anh (nước Anh),3,W00009N.mp4; W00009T.mp4; W00009B.mp4,117; 117; 106
Ba chân bốn cẳng,1,W00065.mp4,149
Bra-xin (nước Bra-xin),3,W00355B.mp4; W00355T.mp4; W00355N.mp4,125; 129; 129
Bru-nây (nước Bru-nây),3,W00356B.mp4; W00356N.mp4; W00356T.mp4,129; 205; 205
Bun-ga-ri (nước Bun-ga-ri),1,W00360.mp4,144
Bà Nà,1,W00067.mp4,133
Bà Rịa - Vũng Tàu,1,W00068.mp4,157
Bãi biển Vũng Tàu,1,W00079.mp4,161
Bình Dương,1,W00276.mp4,166
Bình Phước,1,W00283.mp4,158
Bình Thuận,1,W00285.mp4,148
Bình Định,1,W00277.mp4,154
Băng-la-đét (nước Băng-la-đét),1,W00193.mp4,167
Bạc Liêu,1,W00070.mp4,161
Bắc Giang,1,W00182.mp4,108
Bắc Kạn,1,W00183.mp4,120
Bắc Ninh,1,W00185.mp4,71
Bắc bộ,1,W00181.mp4,131
Bến Tre,1,W00244.mp4,166
Cam-pu-chia (nước Cam-pu-chia),3,W00407B.mp4; W00407T.mp4; W00407N.mp4,117; 117; 154
Cao Bằng,1,W00417.mp4,144
Chi-lê (nước Chi-lê),1,W00573.mp4,109
Châu Á Thái Bình Dương,1,W00542.mp4,92
Châu Đại Dương,1,W00544.mp4,122
Cocacola,1,D0407.mp4,119
Cu ba (nước Cu ba),1,W00887.mp4,104
Cà Mau,1,W00397.mp4,153
Cô vy (covid),1,D0284.mp4,111
Cô-lôm-bi-a (nước Cô-lôm-bi-a),1,W00829.mp4,98
Cố đô Huế,1,D0285.mp4,138
Cộng Hòa Séc (nước Cộng Hòa Séc),1,W00858.mp4,93
Dinh Độc Lập,1,W01046.mp4,123
Do Thái,1,D0007.mp4,150
Gia Lai,1,W01415.mp4,105
Hoàng tử,1,W01649.mp4,129
Hoãn,1,D0350.mp4,110
Hung-ga-ri (nước Hung-ga-ri),1,W01714.mp4,139
Hà Giang,1,W01526.mp4,105
Hà Lan (nước Hà Lan),1,W01527.mp4,91
Hùng Vương,1,W01715.mp4,116
Hưng Yên,1,W01723.mp4,116
Hạ Long,1,W01530.mp4,220
Hải Dương,1,W01533.mp4,89
Hậu Giang,1,W01572.mp4,108
Hồ Chí Minh,1,W01681.mp4,113
I-rắc (nước I-rắc),1,W01726.mp4,113
Italia (nước Italia),1,W01733.mp4,102
Khánh Hòa,1,W01772.mp4,118
Kim Đồng,1,D0479.mp4,121
Kiên Giang,1,W01881.mp4,129
Kon Tum,1,W01908.mp4,103
Liên Bang Nga (nước Nga),3,W01996T.mp4; W01996N.mp4; W01996B.mp4,115; 87; 105
Long An,1,W02027.mp4,121
Long Vương,1,D0225.mp4,137
Lào (nước Lào),3,W01945B.mp4; W01945T.mp4; W01945N.mp4,102; 102; 142
Lâm Đồng,1,W01961.mp4,129
Lượm,1,D0316.mp4,103
Lạc Long Quân,1,W01914.mp4,107
Lạng Sơn,1,W01940.mp4,182
Ma Cao,1,D0006.mp4,115
Mexico (nước Mexico),3,W02200N.mp4; W02200B.mp4; W02200T.mp4,94; 100; 94
Miến Điện (nước Mi-an-ma),3,D0005B.mp4; D0005N.mp4; D0005T.mp4,184; 213; 213
Mã Lai (nước Ma-lai-xi-a),3,D0223N.mp4; D0223B.mp4; D0223T.mp4,121; 135; 130
Mặt trời lặn,1,W02222.mp4,126
Mặt trời mọc,1,W02219.mp4,98
Nam bán cầu,1,W02284.mp4,106
Nam Định,1,W02285.mp4,97
Nhật (nước Nhật),3,W02492B.mp4; W02492N.mp4; W02492T.mp4,128; 65; 128
Ninh Bình,1,W02518.mp4,111
Ninh Thuận,1,W02519.mp4,105
Oa-sinh-tơn,1,W02556.mp4,150
Pa-ki-xtan (nước Pa-ki-xtan),1,W02582.mp4,160
Paris,1,W00852.mp4,113
Phi-líp-pin (nước Phi-líp-pin),3,W02654B.mp4; W02654T.mp4; W02654N.mp4,85; 85; 89
Phú Thọ,1,W02702.mp4,110
Pê-ru (nước Pê-ru),1,W02583.mp4,154
Quy Nhơn,1,D0016.mp4,118
Quảng Bình,1,W02772.mp4,105
Quảng Nam,1,W02781.mp4,127
Quảng Ngãi,1,W02774.mp4,97
Quảng Ninh,1,W02775.mp4,225
Quảng Trị,1,W02782.mp4,105
Quốc Tử Giám,1,W02807.mp4,88
Sapa,1,W02925.mp4,110
Socola,1,D0406.mp4,108
Sóc Trăng,1,W02961.mp4,114
Thanh Hóa,1,W03168.mp4,105
Thái Nguyên,1,W03150.mp4,84
Thánh Gióng,1,D0480.mp4,115
Thăng Long,1,D0244.mp4,102
Thủy Điện Hòa Bình,3,W03345N.mp4; W03345B.mp4; W03345T.mp4,127; 107; 127
Thừa Thiên – Huế,3,W03361B.mp4; W03361T.mp4; W03361N.mp4,113; 117; 89
Tiền Giang,1,W03398.mp4,227
Trung Quốc (nước Trung Quốc),3,W03642B.mp4; W03642N.mp4; W03642T.mp4,109; 145; 109
Trung Thu,3,W03645B.mp4; W03645T.mp4; W03645N.mp4,108; 288; 288
Trà Vinh,1,W03513.mp4,117
Trần Quốc Toản,1,W02806.mp4,108
Tuy Hoà,1,D0015.mp4,139
Tây Bắc,1,W03121.mp4,100
Tây Nguyên,1,W03123.mp4,96
Tây Ninh,1,W03124.mp4,86
Tết Dương,2,W03132N.mp4; W03132T.mp4,81; 134
Tết Thiếu nhi,1,W03133N.mp4,90
Tết Trung thu,3,W03134T.mp4; W03134N.mp4; W03134B.mp4,86; 86; 108
Tết hàn thực,3,D0040N.mp4; D0040B.mp4; D0040T.mp4,99; 120; 123
Tết Âm,2,W03131T.mp4; W03131N.mp4,120; 82
UNICEF,1,W03744.mp4,119
Võ Nguyên Giáp,1,W03851.mp4,143
Võ Thị Sáu,1,D0203.mp4,181
Văn miếu Quốc Tử Giám,1,W03791.mp4,154
Vĩnh Long,1,W03846.mp4,123
Vĩnh Phúc,1,W03847.mp4,133
Y-Éc-Xanh,1,W04031.mp4,128
Yên Bái,1,W04043.mp4,119
a,1,D0489.mp4,93
ai,3,W00004B.mp4; W00004N.mp4; W00004T.mp4,111; 113; 128
ai bảo,1,W04071.mp4,99
ai cho,1,D0032.mp4,114
an ninh,1,W00007.mp4,151
anh chị,1,W00010B.mp4,165
anh chị em,1,W00011.mp4,127
anh dũng,3,W00012N.mp4; W00012T.mp4; W00012B.mp4,121; 121; 154
anh em,3,W00013T.mp4; W00013N.mp4; W00013B.mp4,120; 120; 185
"anh hai, anh cả",3,D0143B.mp4; D0143N.mp4; D0143T.mp4,72; 68; 72
anh hùng,1,W00015.mp4,102
anh họ,2,W00014T.mp4; W00014N.mp4,135; 135
anh ruột,3,W00019N.mp4; W00019B.mp4; W00019T.mp4,125; 177; 125
anh rể,3,W00018N.mp4; W00018B.mp4; W00018T.mp4,102; 75; 102
anh vợ,1,W00020.mp4,135
ao chuôm,1,W00026.mp4,139
b,1,D0492.mp4,93
ba là,1,D0148.mp4,93
