STT,TEXT,COUNT,VIDEO
1,thương yêu,6,"W03373B.mp4, W03373N.mp4, W03373T.mp4, W03450B.mp4, W03450T.mp4, W03450N.mp4"
2,đặc biệt,4,"W01122B.mp4, W01122T.mp4, W01122N.mp4, W01122.mp4"
3,thành lập,4,"W03175N.mp4, W03175T.mp4, W03175B.mp4, W03175.mp4"
4,thường xuyên,4,"D0156N.mp4, D0156B.mp4, D0156.mp4, D0156T.mp4"
5,tưởng tượng,4,"W03732T.mp4, W03732.mp4, W03732N.mp4, W03732B.mp4"
6,bộ đội,3,"W00328N.mp4, W00328T.mp4, W00328B.mp4"
7,bình thường,3,"W00286N.mp4, W00286B.mp4, W00286T.mp4"
8,sữa bột,3,"W03037T.mp4, W03037B.mp4, W03037N.mp4"
9,sữa dê,3,"W03038N.mp4, W03038T.mp4, W03038B.mp4"
10,sữa bò,3,"W03036T.mp4, W03036B.mp4, W03036N.mp4"
11,bón phân,3,"W00304N.mp4, W00304B.mp4, W00304T.mp4"
12,sơ mi,3,"W03011B.mp4, W03011T.mp4, W03011N.mp4"
13,bố dượng,3,"W00326B.mp4, W00326T.mp4, W00326N.mp4"
14,cây cổ thụ,3,"W00459T.mp4, W00459N.mp4, W00459B.mp4"
15,bông hoa,3,"W00336T.mp4, W00336B.mp4, W00336N.mp4"
16,sữa hộp,3,"W03040B.mp4, W03040N.mp4, W03040T.mp4"
17,sinh sản,3,"W02956N.mp4, W02956T.mp4, W02956B.mp4"
18,bốt cảnh sát,3,"W00337B.mp4, W00337T.mp4, W00337N.mp4"
19,bột màu,3,"W00341T.mp4, W00341N.mp4, W00341B.mp4"
20,bốt điện,3,"W00338B.mp4, W00338N.mp4, W00338T.mp4"
21,sinh đẻ,3,"W02953N.mp4, W02953B.mp4, W02953T.mp4"
22,cỏ,3,"W00357B.mp4, W00357N.mp4, W00357T.mp4"
23,sữa,3,"W03042B.mp4, W03042N.mp4, W03042T.mp4"
24,tái phạm,3,"W03071B.mp4, W03071N.mp4, W03071T.mp4"
25,bình an,3,"W00274N.mp4, W00274B.mp4, W00274T.mp4"
26,tha thứ,3,"W03138N.mp4, W03138T.mp4, W03138B.mp4"
27,thăm hỏi,3,"W03197T.mp4, W03197N.mp4, W03197B.mp4"
28,bảo vệ môi trường,3,"W00159N.mp4, W00159B.mp4, W00159T.mp4"
29,tham quan,3,"W03156T.mp4, W03156B.mp4, W03156N.mp4"
30,tháng,3,"W03167B.mp4, W03167T.mp4, W03167N.mp4"
31,tham dự,3,"W03153B.mp4, W03153N.mp4, W03153T.mp4"
32,thái độ,3,"W03148T.mp4, W03148N.mp4, W03148B.mp4"
33,bắn bi,3,"W00186N.mp4, W00186T.mp4, W00186B.mp4"
34,bắp ngô,3,"W00196B.mp4, W00196T.mp4, W00196N.mp4"
35,bìa vở,3,"W00255B.mp4, W00255N.mp4, W00255T.mp4"
36,bắt đền,3,"W00198.mp4, W00198N.mp4, W00198B.mp4"
37,Tết Trung thu,3,"W03134T.mp4, W03134N.mp4, W03134B.mp4"
38,bẻ ngô,3,"W00216T.mp4, W00216B.mp4, W00216N.mp4"
39,bé trai,3,"W00220B.mp4, W00220N.mp4, W00220T.mp4"
40,tấm vải,3,"W03105N.mp4, W03105B.mp4, W03105T.mp4"
41,tàu hoả,3,"W03085N.mp4, W03085B.mp4, W03085T.mp4"
42,bụi phấn,3,"W00359N.mp4, W00359T.mp4, W00359B.mp4"
43,buổi sáng,3,"W00368B.mp4, W00368T.mp4, W00368N.mp4"
44,buổi đêm,3,"W00367B.mp4, W00367T.mp4, W00367N.mp4"
45,chả cá,3,"W00484T.mp4, W00484B.mp4, W00484N.mp4"
46,ra ngoài,3,"W02825B.mp4, W02825T.mp4, W02825N.mp4"
47,quyển vở,3,"W02818T.mp4, W02818B.mp4, W02818N.mp4"
48,quyền lợi,3,"W02813B.mp4, W02813N.mp4, W02813T.mp4"
49,quyết định,3,"W02814N.mp4, W02814T.mp4, W02814B.mp4"
50,chảo,3,"W00493B.mp4, W00493N.mp4, W00493T.mp4"
