  Epoch | Train Loss |  Train F1 |  Val Loss |  Val F1
  1/300 |     3.6643 |    0.0257 |    3.3588 |  0.0339 | Check
  2/300 |     3.3118 |    0.0328 |    3.2404 |  0.0354 | Check
  3/300 |     3.1332 |    0.0491 |    2.9747 |  0.0359 | Check
  4/300 |     2.9360 |    0.0465 |    2.7585 |  0.0482 | Check
  5/300 |     2.8881 |    0.0543 |    2.6738 |  0.0519 | Check
  6/300 |     2.7460 |    0.0572 |    2.5972 |  0.0702 | Check
  7/300 |     2.6871 |    0.0582 |    2.6124 |  0.0799 | Check
  8/300 |     2.5575 |    0.0833 |    2.4252 |  0.0932 | Check
  9/300 |     2.5160 |    0.0939 |    2.4023 |  0.0773
 10/300 |     2.4298 |    0.0987 |    2.3173 |  0.0807
 11/300 |     2.3767 |    0.1077 |    2.2227 |  0.1052 | Check
 12/300 |     2.3075 |    0.1048 |    2.2635 |  0.1038
 13/300 |     2.2731 |    0.1271 |    2.0759 |  0.1162 | Check
 14/300 |     2.2583 |    0.1238 |    2.1567 |  0.1188 | Check
 15/300 |     2.1911 |    0.1377 |    2.0771 |  0.1312 | Check
 16/300 |     2.1417 |    0.1361 |    2.0290 |  0.1558 | Check
 17/300 |     2.0842 |    0.1364 |    1.9230 |  0.1608 | Check
 18/300 |     2.0766 |    0.1467 |    1.9220 |  0.1817 | Check
 19/300 |     2.0252 |    0.1530 |    1.9121 |  0.1752
 20/300 |     1.9717 |    0.1629 |    1.9906 |  0.1596
 21/300 |     2.0070 |    0.1568 |    1.9148 |  0.1734
 22/300 |     1.9153 |    0.1529 |    1.7765 |  0.1858 | Check
 23/300 |     1.9456 |    0.1628 |    1.6808 |  0.2180 | Check
 24/300 |     1.9024 |    0.1673 |    1.8563 |  0.1905
 25/300 |     1.8577 |    0.1905 |    1.8097 |  0.2325 | Check
 26/300 |     1.8732 |    0.1812 |    1.6866 |  0.2423 | Check
 27/300 |     1.7586 |    0.1905 |    1.7470 |  0.2531 | Check
 28/300 |     1.7785 |    0.2143 |    1.6129 |  0.1888
 29/300 |     1.7387 |    0.2011 |    1.5236 |  0.3048 | Check
 30/300 |     1.7369 |    0.2002 |    1.6348 |  0.2529
 31/300 |     1.7169 |    0.2118 |    1.6001 |  0.2157
 32/300 |     1.7156 |    0.2328 |    1.6799 |  0.2504
 33/300 |     1.7098 |    0.2218 |    1.5186 |  0.2104
 34/300 |     1.6160 |    0.2550 |    1.5846 |  0.2901
 35/300 |     1.7121 |    0.2338 |    1.5357 |  0.2663
 36/300 |     1.6711 |    0.2386 |    1.7369 |  0.2250
 37/300 |     1.6561 |    0.2414 |    1.5685 |  0.2822
 38/300 |     1.5601 |    0.2412 |    1.4367 |  0.2895
 39/300 |     1.5795 |    0.2451 |    1.3773 |  0.3110 | Check
 40/300 |     1.6072 |    0.2480 |    1.5313 |  0.2586
 41/300 |     1.5465 |    0.2623 |    1.2881 |  0.2812
 42/300 |     1.6004 |    0.2550 |    1.4149 |  0.2891
 43/300 |     1.5635 |    0.2653 |    1.4270 |  0.2879
 44/300 |     1.4359 |    0.2947 |    1.3834 |  0.3055
 45/300 |     1.5194 |    0.2828 |    1.3915 |  0.3019
 46/300 |     1.4256 |    0.2879 |    1.3274 |  0.3107
 47/300 |     1.4532 |    0.2953 |    1.3231 |  0.3092
 48/300 |     1.4683 |    0.2686 |    1.3668 |  0.3263 | Check
 49/300 |     1.4381 |    0.3081 |    1.2645 |  0.3152
 50/300 |     1.4306 |    0.2925 |    1.2682 |  0.3428 | Check
 51/300 |     1.3391 |    0.3242 |    1.1668 |  0.3695 | Check
 52/300 |     1.4134 |    0.3125 |    1.2467 |  0.3275
 53/300 |     1.3303 |    0.3190 |    1.2772 |  0.3090
 54/300 |     1.3027 |    0.3235 |    1.1340 |  0.3489
 55/300 |     1.3301 |    0.3338 |    1.3752 |  0.2426
 56/300 |     1.2992 |    0.3318 |    1.2038 |  0.3613
 57/300 |     1.2580 |    0.3486 |    1.2758 |  0.3149
 58/300 |     1.2907 |    0.3413 |    1.1202 |  0.3623
 59/300 |     1.2082 |    0.3571 |    1.0901 |  0.3791 | Check
 60/300 |     1.2528 |    0.3480 |    1.2096 |  0.3316
 61/300 |     1.1844 |    0.3562 |    1.0117 |  0.3993 | Check
 62/300 |     1.2092 |    0.3586 |    1.0187 |  0.3845
 63/300 |     1.2387 |    0.3565 |    1.1494 |  0.3751
 64/300 |     1.3012 |    0.3410 |    1.0951 |  0.4015 | Check
 65/300 |     1.1920 |    0.3791 |    0.9559 |  0.4565 | Check
 66/300 |     1.1377 |    0.3873 |    1.0028 |  0.4161
 67/300 |     1.1786 |    0.3852 |    0.8813 |  0.4563
 68/300 |     1.0817 |    0.3979 |    0.9264 |  0.4090
 69/300 |     1.0978 |    0.4047 |    1.0657 |  0.4484
 70/300 |     1.1184 |    0.3798 |    0.8887 |  0.4384
 71/300 |     1.0735 |    0.4083 |    0.9541 |  0.4229
 72/300 |     1.0259 |    0.4019 |    0.9760 |  0.3946
 73/300 |     1.0076 |    0.4224 |    0.8604 |  0.4547
 74/300 |     1.0273 |    0.4224 |    1.2064 |  0.3646
 75/300 |     1.1121 |    0.4024 |    1.0180 |  0.4395
 76/300 |     1.0596 |    0.4061 |    0.9108 |  0.4669 | Check
 77/300 |     1.0353 |    0.4198 |    1.0156 |  0.4327
 78/300 |     0.9519 |    0.4325 |    0.9436 |  0.4342
 79/300 |     0.9132 |    0.4220 |    0.8235 |  0.4418
 80/300 |     1.0044 |    0.4141 |    0.9752 |  0.3678
 81/300 |     1.0543 |    0.4020 |    1.0505 |  0.3634
 82/300 |     0.9539 |    0.4355 |    0.9822 |  0.4016
 83/300 |     0.8857 |    0.4756 |    0.8451 |  0.4186
 84/300 |     0.9379 |    0.4403 |    1.0198 |  0.4422
 85/300 |     0.9343 |    0.4543 |    0.7252 |  0.4637
 86/300 |     0.9448 |    0.4436 |    0.9860 |  0.4129
 87/300 |     0.9279 |    0.4554 |    0.7184 |  0.5194 | Check
 88/300 |     0.9013 |    0.4720 |    0.8394 |  0.4612
 89/300 |     0.8405 |    0.4540 |    0.9236 |  0.4358
 90/300 |     0.8730 |    0.4665 |    0.7218 |  0.5235 | Check
 91/300 |     0.7924 |    0.5097 |    0.7107 |  0.5366 | Check
 92/300 |     0.7800 |    0.5063 |    0.9528 |  0.4261
 93/300 |     0.7750 |    0.4934 |    0.8398 |  0.4533
 94/300 |     0.8535 |    0.4654 |    0.9454 |  0.4168
 95/300 |     0.8297 |    0.4801 |    0.7316 |  0.4796
 96/300 |     0.8388 |    0.4730 |    0.6986 |  0.5563 | Check
 97/300 |     0.7806 |    0.5241 |    0.8084 |  0.5129
 98/300 |     0.8757 |    0.4723 |    1.0870 |  0.3799
 99/300 |     1.0295 |    0.4347 |    0.8721 |  0.4105
100/300 |     0.7949 |    0.5118 |    0.7777 |  0.5075
101/300 |     0.7706 |    0.5177 |    0.7109 |  0.5017
102/300 |     0.7912 |    0.5016 |    0.8497 |  0.4905
103/300 |     0.8111 |    0.5017 |    0.8982 |  0.4368
104/300 |     0.8114 |    0.5025 |    0.6825 |  0.5194
105/300 |     0.7969 |    0.5036 |    0.5724 |  0.5143
106/300 |     0.7776 |    0.4891 |    0.6793 |  0.5214
107/300 |     0.7773 |    0.4939 |    0.6621 |  0.5119
108/300 |     0.7762 |    0.4884 |    0.6236 |  0.5327
109/300 |     0.7029 |    0.5116 |    0.6468 |  0.5439
110/300 |     0.7068 |    0.5197 |    0.7440 |  0.4729
111/300 |     0.8269 |    0.4973 |    0.7155 |  0.4715
112/300 |     0.7202 |    0.5252 |    0.6578 |  0.5250
113/300 |     0.7967 |    0.5060 |    0.6238 |  0.4937
114/300 |     0.7223 |    0.5250 |    0.7162 |  0.5172
115/300 |     0.7501 |    0.4949 |    0.6181 |  0.5149
116/300 |     0.7623 |    0.5097 |    0.5654 |  0.5502
117/300 |     0.7504 |    0.5128 |    0.7460 |  0.4702
118/300 |     0.6742 |    0.5347 |    0.5833 |  0.5399
119/300 |     0.7066 |    0.5349 |    0.7100 |  0.4952
120/300 |     0.8097 |    0.4886 |    0.6232 |  0.5482
121/300 |     0.6449 |    0.5435 |    0.6155 |  0.5342
122/300 |     0.6203 |    0.5721 |    0.5796 |  0.5215
123/300 |     0.6465 |    0.5559 |    0.5797 |  0.5537
124/300 |     0.6721 |    0.5446 |    0.7320 |  0.4802
125/300 |     0.6786 |    0.5178 |    0.5273 |  0.6079 | Check
126/300 |     0.7059 |    0.5327 |    0.6079 |  0.4969
127/300 |     0.6582 |    0.5367 |    0.6070 |  0.4928
128/300 |     0.6604 |    0.5336 |    0.5759 |  0.4895
129/300 |     0.6951 |    0.5150 |    0.5483 |  0.5179
130/300 |     0.6261 |    0.5560 |    0.8176 |  0.4951
131/300 |     0.6387 |    0.5409 |    0.6487 |  0.4993
132/300 |     0.6332 |    0.5553 |    0.6935 |  0.4764
133/300 |     0.6549 |    0.5657 |    0.8025 |  0.4913
134/300 |     0.6652 |    0.5498 |    0.7570 |  0.4867
135/300 |     0.7037 |    0.5094 |    0.5563 |  0.5406
136/300 |     0.6226 |    0.5625 |    0.5674 |  0.5550
137/300 |     0.6146 |    0.5569 |    0.5708 |  0.5462
138/300 |     0.5877 |    0.5754 |    0.5074 |  0.5976
139/300 |     0.5939 |    0.5696 |    0.4847 |  0.5710
140/300 |     0.5687 |    0.5804 |    0.6762 |  0.5603
141/300 |     0.6035 |    0.5458 |    0.5775 |  0.5378
142/300 |     0.5583 |    0.5735 |    0.6233 |  0.5323
143/300 |     0.5725 |    0.5797 |    0.6671 |  0.5535
144/300 |     0.5162 |    0.5984 |    0.6084 |  0.5098
145/300 |     0.5437 |    0.6122 |    0.5663 |  0.5374
146/300 |     0.5914 |    0.5673 |    0.6011 |  0.4956
147/300 |     0.5912 |    0.5683 |    0.4980 |  0.5686
148/300 |     0.6698 |    0.5315 |    0.6582 |  0.5112
149/300 |     0.5548 |    0.5812 |    0.4735 |  0.5787
150/300 |     0.6022 |    0.5551 |    0.6119 |  0.4778
151/300 |     0.6287 |    0.5657 |    0.7060 |  0.4982
152/300 |     0.6675 |    0.5447 |    0.5719 |  0.5228
153/300 |     0.6206 |    0.5565 |    0.5214 |  0.5502
154/300 |     0.5311 |    0.6031 |    0.5281 |  0.5738
155/300 |     0.5644 |    0.5988 |    0.5493 |  0.5442
156/300 |     0.6378 |    0.5659 |    0.4949 |  0.5742
157/300 |     0.6050 |    0.5252 |    0.6212 |  0.5520
158/300 |     0.5128 |    0.6068 |    0.4875 |  0.5542
159/300 |     0.6077 |    0.5752 |    0.6114 |  0.5394
160/300 |     0.5012 |    0.5939 |    0.4975 |  0.5552
161/300 |     0.5878 |    0.5684 |    0.5763 |  0.5407
162/300 |     0.6054 |    0.5804 |    0.6018 |  0.5214
163/300 |     0.5865 |    0.5546 |    0.4820 |  0.5431
164/300 |     0.5405 |    0.5927 |    0.5462 |  0.5172
165/300 |     0.5204 |    0.5703 |    0.6557 |  0.4735
166/300 |     0.4801 |    0.6045 |    0.4860 |  0.5648
167/300 |     0.5374 |    0.5883 |    0.4795 |  0.5806
168/300 |     0.5506 |    0.5885 |    0.6024 |  0.5182
169/300 |     0.5504 |    0.5935 |    0.6118 |  0.5266
170/300 |     0.5588 |    0.5931 |    0.4871 |  0.5750
171/300 |     0.6259 |    0.5546 |    0.6183 |  0.4836
172/300 |     0.5585 |    0.5761 |    0.4924 |  0.5481
173/300 |     0.5651 |    0.5715 |    0.5767 |  0.4906
174/300 |     0.4886 |    0.6069 |    0.4329 |  0.5912
175/300 |     0.5747 |    0.5873 |    0.5242 |  0.5544
176/300 |     0.5274 |    0.6049 |    0.5781 |  0.5232
177/300 |     0.5368 |    0.5908 |    0.4734 |  0.6081 | Check
178/300 |     0.5052 |    0.6057 |    0.4434 |  0.6037
179/300 |     0.4897 |    0.6116 |    0.4681 |  0.5901
180/300 |     0.5050 |    0.5908 |    0.4466 |  0.5791
181/300 |     0.5038 |    0.5980 |    0.6148 |  0.5259
182/300 |     0.5390 |    0.5810 |    0.4831 |  0.5565
183/300 |     0.4871 |    0.5896 |    0.4431 |  0.5658
184/300 |     0.4703 |    0.6055 |    0.4785 |  0.5622
185/300 |     0.5650 |    0.5765 |    0.6218 |  0.5124
186/300 |     0.5471 |    0.5801 |    0.4507 |  0.5769
187/300 |     0.4757 |    0.6051 |    0.6078 |  0.5295
188/300 |     0.5388 |    0.5917 |    0.4377 |  0.5938
189/300 |     0.4578 |    0.6028 |    0.3723 |  0.6153 | Check
190/300 |     0.4986 |    0.6050 |    0.4160 |  0.5566
191/300 |     0.4994 |    0.6027 |    0.4319 |  0.5886
192/300 |     0.4733 |    0.6074 |    0.5075 |  0.5291
193/300 |     0.4742 |    0.6230 |    0.5258 |  0.5295
194/300 |     0.5275 |    0.5802 |    0.5286 |  0.5579
195/300 |     0.4668 |    0.6039 |    0.5869 |  0.5508
196/300 |     0.5246 |    0.6218 |    0.5262 |  0.5380
197/300 |     0.5008 |    0.5927 |    0.5241 |  0.5458
198/300 |     0.4667 |    0.6271 |    0.3834 |  0.6276 | Check
199/300 |     0.5131 |    0.6141 |    0.4130 |  0.6014
200/300 |     0.5099 |    0.5979 |    0.5567 |  0.5226
201/300 |     0.4650 |    0.6224 |    0.5117 |  0.5422
202/300 |     0.5320 |    0.6026 |    0.4302 |  0.5637
203/300 |     0.4202 |    0.6393 |    0.5969 |  0.5484
204/300 |     0.4509 |    0.6208 |    0.4606 |  0.5268
205/300 |     0.4617 |    0.5969 |    0.4987 |  0.5561
206/300 |     0.4662 |    0.6301 |    0.4364 |  0.5885
207/300 |     0.5379 |    0.5718 |    0.3802 |  0.5930
208/300 |     0.5019 |    0.6059 |    0.5608 |  0.5761
209/300 |     0.4705 |    0.6045 |    0.4678 |  0.5458
210/300 |     0.4262 |    0.6232 |    0.3880 |  0.5762
211/300 |     0.4529 |    0.6192 |    0.3559 |  0.6195
212/300 |     0.4253 |    0.6318 |    0.3355 |  0.6102
213/300 |     0.4490 |    0.6009 |    0.4860 |  0.5066
214/300 |     0.5848 |    0.5527 |    0.5605 |  0.5518
215/300 |     0.5352 |    0.6004 |    0.5145 |  0.6063
216/300 |     0.4691 |    0.6207 |    0.5267 |  0.5644
217/300 |     0.4721 |    0.6082 |    0.5744 |  0.5576
218/300 |     0.4026 |    0.6439 |    0.4794 |  0.5615
219/300 |     0.4337 |    0.6108 |    0.3645 |  0.6088
220/300 |     0.6355 |    0.5691 |    0.7030 |  0.5250
221/300 |     0.5686 |    0.5642 |    0.5690 |  0.5099
222/300 |     0.4817 |    0.6125 |    0.4657 |  0.5418
223/300 |     0.4556 |    0.6094 |    0.4487 |  0.5835
224/300 |     0.3987 |    0.6437 |    0.4399 |  0.5838
225/300 |     0.4774 |    0.6167 |    0.4029 |  0.5739
226/300 |     0.4443 |    0.6339 |    0.4054 |  0.6324 | Check
227/300 |     0.4485 |    0.6187 |    0.3980 |  0.5934
228/300 |     0.5110 |    0.6187 |    0.4060 |  0.5915
229/300 |     0.4242 |    0.6395 |    0.3706 |  0.5966
230/300 |     0.3968 |    0.6293 |    0.4965 |  0.5770
231/300 |     0.4218 |    0.6520 |    0.6090 |  0.5419
232/300 |     0.5104 |    0.5899 |    0.4203 |  0.5817
233/300 |     0.4411 |    0.6261 |    0.4358 |  0.5727
234/300 |     0.4529 |    0.6269 |    0.3413 |  0.6359 | Check
235/300 |     0.3736 |    0.6440 |    0.4082 |  0.5942
236/300 |     0.4078 |    0.6482 |    0.4143 |  0.6287
237/300 |     0.4058 |    0.6499 |    0.4026 |  0.6102
238/300 |     0.4497 |    0.6236 |    0.3667 |  0.6047
239/300 |     0.3958 |    0.6400 |    0.4080 |  0.5575
240/300 |     0.4687 |    0.6133 |    0.3846 |  0.6305
241/300 |     0.3832 |    0.6372 |    0.4519 |  0.5702
242/300 |     0.4740 |    0.6015 |    0.4647 |  0.5717
243/300 |     0.3913 |    0.6421 |    0.4426 |  0.5624
244/300 |     0.5045 |    0.5858 |    0.5422 |  0.5784
245/300 |     0.4508 |    0.6259 |    0.3708 |  0.6230
246/300 |     0.4506 |    0.6305 |    0.4021 |  0.5722
247/300 |     0.4230 |    0.6190 |    0.4879 |  0.5751
248/300 |     0.4096 |    0.6359 |    0.4109 |  0.5592
249/300 |     0.4553 |    0.6162 |    0.4224 |  0.5806
250/300 |     0.4613 |    0.6097 |    0.4024 |  0.6309
251/300 |     0.4296 |    0.6224 |    0.3934 |  0.6041
252/300 |     0.4343 |    0.6301 |    0.2861 |  0.6516 | Check
253/300 |     0.4105 |    0.6200 |    0.5312 |  0.5433
254/300 |     0.4632 |    0.6162 |    0.3443 |  0.6083
255/300 |     0.4646 |    0.6298 |    0.3905 |  0.6211
256/300 |     0.4176 |    0.6357 |    0.3988 |  0.6122
257/300 |     0.4158 |    0.6369 |    0.5267 |  0.5625
258/300 |     0.4005 |    0.6358 |    0.3841 |  0.6091
259/300 |     0.4489 |    0.6155 |    0.4520 |  0.5845
260/300 |     0.4719 |    0.6114 |    0.4174 |  0.6369
261/300 |     0.4558 |    0.6142 |    0.4784 |  0.5329
262/300 |     0.3940 |    0.6486 |    0.3621 |  0.6295
263/300 |     0.4169 |    0.6356 |    0.4446 |  0.5785
264/300 |     0.4426 |    0.6183 |    0.3510 |  0.6510
265/300 |     0.4653 |    0.6253 |    0.4205 |  0.5615
266/300 |     0.4247 |    0.6174 |    0.5604 |  0.5631
267/300 |     0.3777 |    0.6407 |    0.3995 |  0.6081
268/300 |     0.4438 |    0.6284 |    0.4020 |  0.6225
269/300 |     0.4058 |    0.6383 |    0.3539 |  0.6181
270/300 |     0.4022 |    0.6612 |    0.5339 |  0.5325
271/300 |     0.3888 |    0.6378 |    0.3899 |  0.6129
272/300 |     0.4312 |    0.6301 |    0.3823 |  0.6467
273/300 |     0.4513 |    0.6146 |    0.3618 |  0.5827
274/300 |     0.3976 |    0.6275 |    0.3624 |  0.5752
275/300 |     0.4131 |    0.6312 |    0.5373 |  0.5763
276/300 |     0.4175 |    0.6072 |    0.4636 |  0.5846
277/300 |     0.4395 |    0.6145 |    0.5461 |  0.5610
278/300 |     0.3744 |    0.6552 |    0.4233 |  0.6097
279/300 |     0.3705 |    0.6546 |    0.3458 |  0.6178
280/300 |     0.3773 |    0.6523 |    0.4314 |  0.5965
281/300 |     0.4274 |    0.6421 |    0.3394 |  0.6177
282/300 |     0.3885 |    0.6329 |    0.3323 |  0.6350
283/300 |     0.4085 |    0.6360 |    0.4183 |  0.5581
284/300 |     0.4030 |    0.6440 |    0.4580 |  0.5587
285/300 |     0.4773 |    0.6046 |    0.4540 |  0.5810
286/300 |     0.4839 |    0.6035 |    0.5249 |  0.5343
287/300 |     0.4807 |    0.5959 |    0.3436 |  0.5907
288/300 |     0.4163 |    0.6531 |    0.3605 |  0.5816
289/300 |     0.3897 |    0.6518 |    0.3506 |  0.6227
290/300 |     0.3857 |    0.6404 |    0.3195 |  0.6418
291/300 |     0.3367 |    0.6614 |    0.3483 |  0.6406
292/300 |     0.3538 |    0.6704 |    0.3734 |  0.6164
293/300 |     0.4112 |    0.6287 |    0.4719 |  0.5790
294/300 |     0.4408 |    0.6094 |    0.4270 |  0.6086
295/300 |     0.4372 |    0.6332 |    0.4391 |  0.5990
296/300 |     0.3730 |    0.6542 |    0.3277 |  0.6276
297/300 |     0.3933 |    0.6524 |    0.3732 |  0.5853
298/300 |     0.3821 |    0.6475 |    0.4447 |  0.6290
299/300 |     0.4094 |    0.6307 |    0.3206 |  0.6112
300/300 |     0.4280 |    0.6343 |    0.2969 |  0.6628 | Check
